sid=s2500 | cid=CS180 | grade=71
sid=s2547 | cid=CS177 | grade=68
sid=s2548 | cid=CS177 | grade=94
sid=s2549 | cid=CS180 | grade=1
sid=s2550 | cid=CS177 | grade=29
sid=s2551 | cid=CS177 | grade=87
sid=s2552 | cid=CS180 | grade=17
sid=s2553 | cid=CS177 | grade=56
sid=s2553 | cid=CS180 | grade=56
sid=s2554 | cid=CS177 | grade=95
sid=s2555 | cid=CS177 | grade=16
sid=s2555 | cid=CS180 | grade=16
sid=s2556 | cid=CS180 | grade=38
sid=s2557 | cid=CS177 | grade=81
sid=s2557 | cid=CS180 | grade=81
sid=s2558 | cid=CS177 | grade=58
sid=s2558 | cid=CS180 | grade=58
sid=s2559 | cid=CS177 | grade=33
sid=s2560 | cid=CS180 | grade=34
sid=s2561 | cid=CS177 | grade=7
sid=s2562 | cid=CS177 | grade=74
sid=s2562 | cid=CS180 | grade=74
sid=s2563 | cid=CS180 | grade=39
sid=s2564 | cid=CS180 | grade=61
sid=s2565 | cid=CS177 | grade=27
sid=s2566 | cid=CS180 | grade=63
sid=s2567 | cid=CS180 | grade=69
sid=s2568 | cid=CS180 | grade=26
sid=s2569 | cid=CS177 | grade=32
sid=s2570 | cid=CS180 | grade=97
sid=s2571 | cid=CS180 | grade=44
sid=s2572 | cid=CS177 | grade=79
sid=s2572 | cid=CS180 | grade=79
sid=s2573 | cid=CS180 | grade=45
sid=s2574 | cid=CS180 | grade=80
sid=s2575 | cid=CS177 | grade=65
sid=s2576 | cid=CS180 | grade=79
sid=s2577 | cid=CS177 | grade=25
sid=s2578 | cid=CS180 | grade=4
sid=s2579 | cid=CS177 | grade=61
sid=s2580 | cid=CS177 | grade=87
sid=s2581 | cid=CS180 | grade=96
sid=s2582 | cid=CS177 | grade=38
sid=s2582 | cid=CS180 | grade=38
sid=s2583 | cid=CS180 | grade=72
sid=s2584 | cid=CS180 | grade=95
sid=s2585 | cid=CS177 | grade=42
sid=s2586 | cid=CS177 | grade=14
sid=s2587 | cid=CS177 | grade=8
sid=s2588 | cid=CS180 | grade=26
sid=s2589 | cid=CS177 | grade=35
sid=s2590 | cid=CS177 | grade=54
sid=s2591 | cid=CS177 | grade=26
sid=s2592 | cid=CS180 | grade=51
sid=s2593 | cid=CS180 | grade=62
sid=s2594 | cid=CS177 | grade=8
sid=s2595 | cid=CS177 | grade=99
sid=s2596 | cid=CS177 | grade=31
sid=s2597 | cid=CS177 | grade=11
sid=s2597 | cid=CS180 | grade=11
sid=s2598 | cid=CS177 | grade=95
sid=s2599 | cid=CS180 | grade=74
sid=s2600 | cid=CS180 | grade=100
sid=s2601 | cid=CS177 | grade=60
sid=s2602 | cid=CS177 | grade=14
sid=s2603 | cid=CS177 | grade=65
sid=s2604 | cid=CS180 | grade=51
sid=s2605 | cid=CS180 | grade=7
sid=s2606 | cid=CS180 | grade=84
sid=s2607 | cid=CS177 | grade=25
sid=s2608 | cid=CS180 | grade=10
sid=s2609 | cid=CS177 | grade=34
sid=s2610 | cid=CS177 | grade=11
sid=s2610 | cid=CS180 | grade=11
sid=s2611 | cid=CS177 | grade=43
sid=s2611 | cid=CS180 | grade=43
sid=s2612 | cid=CS177 | grade=17
sid=s2613 | cid=CS180 | grade=41
sid=s2614 | cid=CS180 | grade=0
sid=s2615 | cid=CS177 | grade=59
sid=s2616 | cid=CS177 | grade=77
sid=s2617 | cid=CS180 | grade=52
sid=s2618 | cid=CS177 | grade=83
sid=s2618 | cid=CS180 | grade=83
sid=s2619 | cid=CS177 | grade=23
sid=s2620 | cid=CS177 | grade=12
sid=s2620 | cid=CS180 | grade=12
sid=s2621 | cid=CS177 | grade=100
sid=s2622 | cid=CS180 | grade=93
sid=s2623 | cid=CS180 | grade=93
sid=s2624 | cid=CS177 | grade=8
sid=s2624 | cid=CS180 | grade=8
sid=s2625 | cid=CS180 | grade=70
sid=s2626 | cid=CS177 | grade=33
sid=s2626 | cid=CS180 | grade=33
sid=s2627 | cid=CS177 | grade=38
sid=s2628 | cid=CS177 | grade=91
sid=s2629 | cid=CS180 | grade=91
sid=s2630 | cid=CS177 | grade=3
sid=s2631 | cid=CS180 | grade=82
sid=s2632 | cid=CS180 | grade=2
sid=s2633 | cid=CS177 | grade=58
sid=s2634 | cid=CS180 | grade=57
sid=s2635 | cid=CS180 | grade=95
sid=s2636 | cid=CS180 | grade=37
sid=s2637 | cid=CS177 | grade=36
sid=s2637 | cid=CS180 | grade=36
sid=s2638 | cid=CS177 | grade=76
sid=s2639 | cid=CS177 | grade=11
sid=s2640 | cid=CS177 | grade=15
sid=s2640 | cid=CS180 | grade=15
sid=s2641 | cid=CS177 | grade=58
sid=s2642 | cid=CS177 | grade=99
sid=s2643 | cid=CS177 | grade=34
sid=s2644 | cid=CS180 | grade=5
sid=s2645 | cid=CS177 | grade=80
sid=s2646 | cid=CS180 | grade=65
sid=s2647 | cid=CS177 | grade=51
sid=s2647 | cid=CS180 | grade=51
sid=s2648 | cid=CS180 | grade=91
sid=s2649 | cid=CS177 | grade=21
sid=s2650 | cid=CS177 | grade=76
sid=s2650 | cid=CS180 | grade=76
sid=s2651 | cid=CS180 | grade=62
sid=s2652 | cid=CS180 | grade=98
sid=s2653 | cid=CS177 | grade=93
sid=s2653 | cid=CS180 | grade=93
sid=s2654 | cid=CS177 | grade=16
sid=s2655 | cid=CS177 | grade=17
sid=s2656 | cid=CS180 | grade=59
sid=s2657 | cid=CS177 | grade=64
sid=s2658 | cid=CS180 | grade=37
sid=s2659 | cid=CS180 | grade=21
sid=s2660 | cid=CS177 | grade=4
sid=s2660 | cid=CS180 | grade=4
sid=s2661 | cid=CS180 | grade=42
sid=s2662 | cid=CS180 | grade=93
sid=s2663 | cid=CS177 | grade=65
sid=s2664 | cid=CS180 | grade=5
sid=s2665 | cid=CS180 | grade=100
sid=s2666 | cid=CS180 | grade=70
sid=s2667 | cid=CS177 | grade=22
sid=s2668 | cid=CS177 | grade=26
sid=s2669 | cid=CS180 | grade=8
sid=s2670 | cid=CS177 | grade=54
sid=s2671 | cid=CS177 | grade=62
sid=s2672 | cid=CS177 | grade=50
sid=s2673 | cid=CS180 | grade=74
sid=s2674 | cid=CS177 | grade=25
sid=s2675 | cid=CS177 | grade=80
sid=s2676 | cid=CS180 | grade=29
sid=s2677 | cid=CS177 | grade=36
sid=s2677 | cid=CS180 | grade=36
sid=s2678 | cid=CS180 | grade=12
sid=s2679 | cid=CS180 | grade=56
sid=s2680 | cid=CS177 | grade=11
sid=s2680 | cid=CS180 | grade=11
sid=s2681 | cid=CS180 | grade=85
sid=s2682 | cid=CS180 | grade=16
sid=s2683 | cid=CS177 | grade=93
sid=s2684 | cid=CS180 | grade=63
sid=s2685 | cid=CS177 | grade=21
sid=s2686 | cid=CS177 | grade=46
sid=s2687 | cid=CS177 | grade=15
sid=s2688 | cid=CS180 | grade=82
sid=s2689 | cid=CS180 | grade=8
sid=s2690 | cid=CS177 | grade=87
sid=s2691 | cid=CS180 | grade=17
sid=s2692 | cid=CS180 | grade=80
sid=s2693 | cid=CS180 | grade=44
sid=s2694 | cid=CS180 | grade=93
sid=s2695 | cid=CS177 | grade=8
sid=s2696 | cid=CS180 | grade=71
sid=s2697 | cid=CS180 | grade=22
sid=s2698 | cid=CS180 | grade=70
sid=s2699 | cid=CS177 | grade=77
